Norway  Period fertility rates by calendar year and age (1846 - 1967: age reached during the year (ARDY); 1967 - 2022: Lexis squares  age in completed years (ACY))		
1846 - 1967: Data from Burnborg & Mamalund (1994). Kohort og periodefruktbarhet I Norge 1820-1993: Statistics Norway; 1967 - 2022 Human Fertility Database. MPIDR & VID (data downloaded 02.08.2023)		
Year	Age 	ASFR
1873	21	0.06319
1873	22	0.09988
1873	23	0.13257
1873	24	0.15913
1873	25	0.17834
1873	26	0.19114
1873	27	0.20264
1873	28	0.21364
1873	29	0.22233
1873	30	0.2283
1873	31	0.23161
1873	32	0.23243
1873	33	0.23153
1873	34	0.22903
1873	35	0.22475
1873	36	0.21853
1873	37	0.21
1873	38	0.19903
1873	39	0.18546
1873	40	0.16909
1873	41	0.14923
1873	42	0.12599
1873	43	0.1008
1873	44	0.07465
1873	45	0.05064
1873	46	0.03005
1873	47	0.01531
1873	48	0.00657
1873	49	0.00192
1873	50+	0
1874	14-	0
1874	15	0.01364
1874	16	0.01293
1874	17	0.00671
1874	18	0
1874	19	0.00662
1874	20	0.03223
1874	21	0.06606
1874	22	0.10407
1874	23	0.13788
1874	24	0.1653
1874	25	0.18513
1874	26	0.19831
1874	27	0.21021
1874	28	0.2216
1874	29	0.23063
1874	30	0.23687
1874	31	0.24032
1874	32	0.24118
1874	33	0.24022
1874	34	0.2376
1874	35	0.23313
1874	36	0.22668
1874	37	0.21784
1874	38	0.20646
1874	39	0.19241
1874	40	0.17548
1874	41	0.1549
1874	42	0.13081
1874	43	0.10467
1874	44	0.07753
1874	45	0.05261
1874	46	0.03123
1874	47	0.01591
1874	48	0.00683
1874	49	0.002
1874	50+	0
1875	14-	0
1875	15	0.01412
1875	16	0.01357
1875	17	0.00736
1875	18	0
1875	19	0.00715
1875	20	0.03287
1875	21	0.06709
1875	22	0.1057
1875	23	0.14011
1875	24	0.16807
1875	25	0.18831
1875	26	0.20177
1875	27	0.2139
1875	28	0.22549
1875	29	0.23465
1875	30	0.24096
1875	31	0.24446
1875	32	0.24534
1875	33	0.2444
1875	34	0.24177
1875	35	0.23726
1875	36	0.23074
1875	37	0.22177
1875	38	0.21022
1875	39	0.19594
1875	40	0.17871
1875	41	0.15775
1875	42	0.13323
1875	43	0.10662
1875	44	0.07899
1875	45	0.05361
1875	46	0.03182
1875	47	0.01622
1875	48	0.00696
1875	49	0.00204
1875	50+	0
1876	14-	0
1876	15	0.0138
1876	16	0.01306
1876	17	0.00671
1876	18	0
1876	19	0.0065
1876	20	0.03245
1876	21	0.06691
1876	22	0.10574
1876	23	0.14029
1876	24	0.16831
1876	25	0.18855
1876	26	0.20195
1876	27	0.21404
1876	28	0.22559
1876	29	0.2347
1876	30	0.24098
1876	31	0.24446
1876	32	0.24533
1876	33	0.24441
1876	34	0.24182
1876	35	0.23732
1876	36	0.23077
1876	37	0.22177
1876	38	0.21018
1876	39	0.19584
1876	40	0.17853
1876	41	0.15752
1876	42	0.13298
1876	43	0.10638
1876	44	0.07877
1876	45	0.05345
1876	46	0.03172
1876	47	0.01617
1876	48	0.00695
1876	49	0.00204
1876	50+	0
1877	14-	0
1877	15	0.01389
1877	16	0.01328
1877	17	0.0071
1877	18	0
1877	19	0.0071
1877	20	0.03299
1877	21	0.06744
1877	22	0.10634
1877	23	0.14099
1877	24	0.1691
1877	25	0.1894
1877	26	0.20287
1877	27	0.21502
1877	28	0.22665
1877	29	0.23582
1877	30	0.24209
1877	31	0.24556
1877	32	0.24643
1877	33	0.2455
1877	34	0.24289
1877	35	0.23834
1877	36	0.2317
1877	37	0.2226
1877	38	0.21089
1877	39	0.1964
1877	40	0.17894
1877	41	0.15781
1877	42	0.13318
1877	43	0.10649
1877	44	0.07882
1877	45	0.05347
1877	46	0.03173
1877	47	0.01618
1877	48	0.00695
1877	49	0.00204
1877	50+	0
1878	14-	0
1878	15	0.01368
1878	16	0.01311
1878	17	0.00706
1878	18	0
1878	19	0.00715
1878	20	0.03274
1878	21	0.06693
1878	22	0.10569
1878	23	0.14023
1878	24	0.16823
1878	25	0.18843
1878	26	0.20174
1878	27	0.21368
1878	28	0.22506
1878	29	0.23397
1878	30	0.24001
1878	31	0.24333
1878	32	0.24415
1878	33	0.24323
1878	34	0.2407
1878	35	0.23623
1878	36	0.22967
1878	37	0.22066
1878	38	0.20906
1878	39	0.19466
1878	40	0.17728
1878	41	0.15628
1878	42	0.13183
1878	43	0.10536
1878	44	0.07793
1878	45	0.05281
1878	46	0.03131
1878	47	0.01594
1878	48	0.00684
1878	49	0.00199
1878	50+	0
1879	14-	0
1879	15	0.01392
1879	16	0.01338
1879	17	0.00725
1879	18	0
1879	19	0.00735
1879	20	0.03333
1879	21	0.06819
1879	22	0.1078
1879	23	0.14309
1879	24	0.17171
1879	25	0.1923
1879	26	0.20583
1879	27	0.21794
1879	28	0.22948
1879	29	0.23849
1879	30	0.24457
1879	31	0.24792
1879	32	0.24876
1879	33	0.24788
1879	34	0.24537
1879	35	0.24087
1879	36	0.2342
1879	37	0.22501
1879	38	0.21317
1879	39	0.19845
1879	40	0.18067
1879	41	0.15921
1879	42	0.13427
1879	43	0.10729
1879	44	0.07934
1879	45	0.05376
1879	46	0.03189
1879	47	0.01626
1879	48	0.00698
1879	49	0.00205
1879	50+	0
1880	14-	0
1880	15	0.01323
1880	16	0.01274
1880	17	0.007
1880	18	0
1880	19	0.00746
1880	20	0.03249
1880	21	0.06599
1880	22	0.10403
1880	23	0.13792
1880	24	0.16538
1880	25	0.18512
1880	26	0.1981
1880	27	0.20971
1880	28	0.22077
1880	29	0.22938
1880	30	0.23518
1880	31	0.23833
1880	32	0.23908
1880	33	0.23817
1880	34	0.23571
1880	35	0.23131
